sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_N,124.8937,50,30,20,5093.119235,0.376037513,26.1350194,13512.82241
OAT_N,133.2785,50,30,20,5134.742509,0.388350594,26.31575139,13556.31223
OAT_N,120.0031,50,30,20,5068.84164,0.368855666,26.0296039,13487.45612
OAT_N,126.927,50,30,20,5103.21281,0.379023415,26.17884661,13523.36862
OAT_N,136.497,50,30,20,5150.719575,0.393076962,26.38512525,13573.00577
OAT_N,125.1809,50,30,20,5094.544935,0.376459267,26.14120991,13514.31204
OAT_N,145.3132,50,30,20,5194.484377,0.406023554,26.57515595,13618.73315
OAT_N,133.2641,50,30,20,5134.671025,0.388329448,26.31544101,13556.23754
OAT_N,138.2834,50,30,20,5159.587505,0.395700291,26.4236306,13582.27137
OAT_N,135.9415,50,30,20,5147.961999,0.39226121,26.37315161,13570.12453
OAT_N,131.4499,50,30,20,5125.665093,0.385665295,26.27633644,13546.82775
OAT_N,147.1526,50,30,20,5203.615405,0.408724713,26.6148037,13628.27365
OAT_N,144.451,50,30,20,5190.2043,0.404757413,26.55657147,13614.26114
OAT_N,127.6643,50,30,20,5106.872866,0.38010614,26.1947389,13527.19281
OAT_N,137.3146,50,30,20,5154.778252,0.394277608,26.40274839,13577.24645
OAT_N,134.6211,50,30,20,5141.407356,0.390322202,26.34469076,13563.27595
OAT_N,148.1603,50,30,20,5208.617763,0.410204521,26.63652439,13633.50033
OAT_P,135,58.4499,30,20,5167.848704,0.399328066,26.47418824,13600.4629
OAT_P,135,59.6532,30,20,5171.346209,0.400531301,26.49146618,13605.47862
OAT_P,135,48.0556,30,20,5137.636683,0.388934321,26.32493859,13557.13638
OAT_P,135,58.9343,30,20,5169.256658,0.39981244,26.48114364,13602.48203
OAT_P,135,45.593,30,20,5130.478902,0.386471853,26.28957862,13546.87153
OAT_P,135,47.766,30,20,5136.794933,0.388644737,26.32078029,13555.92924
OAT_P,135,55.4124,30,20,5159.019921,0.396290728,26.43057339,13587.8017
OAT_P,135,42.8049,30,20,5122.375024,0.383683902,26.24954486,13535.2499
OAT_P,135,49.9489,30,20,5143.139739,0.39082752,26.3521241,13565.02821
OAT_P,135,58.9896,30,20,5169.417393,0.399867737,26.48193768,13602.71253
OAT_P,135,44.5831,30,20,5127.543532,0.385462007,26.27507767,13542.66196
OAT_P,135,55.8913,30,20,5160.41189,0.396769602,26.43744982,13589.7979
OAT_P,135,54.3925,30,20,5156.055485,0.395270882,26.41592885,13583.55046
OAT_P,135,41.1282,30,20,5117.501537,0.382007291,26.22546946,13528.26092
OAT_P,135,44.147,30,20,5126.275966,0.38502593,26.2688158,13540.84417
OAT_P,135,41.8507,30,20,5119.601551,0.382729753,26.2358437,13531.27251
OAT_P,135,40.2529,30,20,5114.957394,0.381132038,26.21290121,13524.61241
OAT_P,135,44.2418,30,20,5126.551511,0.385120725,26.27017701,13541.23933
OAT_P,135,55.1954,30,20,5158.38919,0.39607374,26.42745753,13586.89718
OAT_P,135,52.8895,30,20,5151.686873,0.393767963,26.39434758,13577.28551
OAT_P,135,43.3649,30,20,5124.002718,0.384243872,26.25758579,13537.58415
OAT_P,135,49.6379,30,20,5142.235788,0.390516537,26.34765852,13563.73187
OAT_P,135,51.1879,30,20,5146.74101,0.392066454,26.36991465,13570.19273
OAT_P,135,42.4137,30,20,5121.237964,0.383292723,26.2439277,13533.61926
OAT_P,135,56.1565,30,20,5161.182719,0.397034788,26.44125777,13590.90333
OAT_P,135,41.2288,30,20,5117.79394,0.382107886,26.22691396,13528.68025
OAT_P,135,43.7183,30,20,5125.029908,0.384597253,26.26266018,13539.05722
OAT_P,135,43.6387,30,20,5124.798543,0.384517657,26.26151722,13538.72543
OAT_P,135,45.2037,30,20,5129.347365,0.386082573,26.28398874,13545.24881
OAT_P,135,45.0718,30,20,5128.963985,0.38595068,26.28209482,13544.69901
OAT_P,135,51.8446,30,20,5148.649771,0.392723119,26.37934408,13572.93005
OAT_P,135,54.7877,30,20,5157.204171,0.395666061,26.42160345,13585.19777
OAT_P,135,45.1336,30,20,5129.143612,0.386012477,26.28298219,13544.95661
OAT_P,135,52.6094,30,20,5150.872735,0.393487878,26.39032568,13576.11797
