sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_N,148.3875,50.0,35.0,20.0,5209.733701144061,0.4139316713390889,25.216894051954633,13648.034577874458
OAT_N,131.6751,50.0,35.0,20.0,5103.298971097254,0.38938950829742347,22.72633336364825,13561.351620593847
OAT_N,133.0963,50.0,35.0,20.0,5112.350037272221,0.39147654080710587,22.938127292121788,13568.723022599974
OAT_N,120.9285,50.0,35.0,20.0,5034.858084694282,0.3736081238557179,21.124824334846085,13505.611746685154
OAT_N,125.7179,50.0,35.0,20.0,5065.359897485155,0.3806413587993377,21.838563316714314,13530.453143229024
OAT_N,136.6892,50.0,35.0,20.0,5135.231810182465,0.3967527152400059,23.47355819953281,13587.358478741127
OAT_N,125.8138,50.0,35.0,20.0,5065.970647025108,0.3807821879702345,21.852854787120044,13530.95055207534
OAT_N,142.7208,50.0,35.0,20.0,5173.644708255174,0.4056101211543036,24.372415685446786,13618.642849934604
OAT_N,124.7299,50.0,35.0,20.0,5059.067712443733,0.3791904805840505,21.691326895850366,13525.328639160585
OAT_N,120.8219,50.0,35.0,20.0,5034.179191045077,0.37345158173248955,21.1089382999634,13505.058839667247
OAT_N,147.897,50.0,35.0,20.0,5206.609898752544,0.413211371982208,25.143797428033814,13645.490479447768
OAT_N,121.7505,50.0,35.0,20.0,5040.093080751012,0.3748152310348333,21.247322652609416,13509.875251082167
OAT_N,145.6718,50.0,35.0,20.0,5192.438471470996,0.4099436652973324,24.812187626711477,13633.948934454778
OAT_N,147.495,50.0,35.0,20.0,5204.049718199254,0.4126210348946114,25.083889491609412,13643.405407954335
